,Type,Compounds,SMILES,SCF,Ref,Cultivate_mode,pH,PFAS_concentration (μg/kg),Exposure_time,Protein_content (%),Lipid_content (%),Species_alfalfa,Species_celery,Species_head_lettuce,Species_leaf_lettuce,Species_lettuce,Species_maize,Species_mung bean,Species_pea,Species_radish,Species_radish_e,Species_romaine_lettuce,Species_ryegrass,Species_soybean,Species_tomato,Species_wheat,SpAbs_A,SpMAD_A,nO,AATS6Z,AATS7i,AATS6se,Predictions
127,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-2.301029996,[12],1,7.51,264.2,70,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-2.258323312
59,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-2.096910013,[12],1,7.51,284.5,70,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25.529641,1.02118564,2,61.33333333,237.7166294,12.952512,-2.086346408
79,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.853871964,[14],0,6.5,200,45,5.21,3.23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.661837588
14,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.823908741,[4],0,6.1,93.45,129,7,2.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.83823405,1.027039808,2,62.22222222,237.1079339,12.911916,-0.80715542
131,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.782516056,[13],0,8.26,154.4,45,3.78,4.35,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.919448011
89,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.769551079,[14],0,6.5,200,45,5.14,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.685310782
90,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.744727495,[14],0,6.5,200,45,4.06,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.643402105
133,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.742321425,[13],0,8.26,154.4,45,3.35,5.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.636465602
88,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.698970004,[14],0,6.5,200,45,5.22,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.704283375
63,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.68613278,[13],0,8.26,416.8,45,3.78,4.35,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.529641,1.02118564,2,61.33333333,237.7166294,12.952512,-0.506664901
75,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.677780705,[14],0,6.5,200,45,4.42,3.23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.617994486
