"","Substance","func","size_class","layer","time","cell_type_general","species","assay","type","media","dose","model_2_values","bmd_id"
"1","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",10,97.4040194987862,3008
"2","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",20,86.8735697422676,3008
"3","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",30,77.0380738529106,3008
"4","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",40,67.8975318307153,3008
"5","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",50,59.4519436756817,3008
"6","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",60,51.7013093878098,3008
"7","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",70,44.6456289670995,3008
"8","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",80,38.284902413551,3008
"9","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",90,32.6191297271641,3008
"10","EoYncPX1",NA,"QhvvMEVq",2,24,"wINVDlE4","w15ouKhY","tTq9T1IN","aNDDZypx","MDEDiJHv",100,27.6483109079389,3008
"11","QKZn1yzA",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","tTq9T1IN","1kVtNcCJ","MDEDiJHv",10,94.3126184827734,3009
"12","QKZn1yzA",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","tTq9T1IN","1kVtNcCJ","MDEDiJHv",20,90.5777506641326,3009
