Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,log(BCF) (L/Kg)
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,plasma,2.51,24.0,24,True,1.6
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,plasma,17.8,24.0,24,True,1.41
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,liver,2.51,24.0,24,True,1.24
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,liver,17.8,24.0,24,True,1.27
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,muscle,17.8,24.0,24,True,0.66
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,ovary,2.51,24.0,24,True,1.72
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,ovary,17.8,24.0,24,True,1.82
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,whole body,2.51,24.0,24,True,1.29
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,whole body,17.8,24.0,24,True,1.44
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.69,24.0,24,True,2.94
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,8.59,24.0,24,True,2.58
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.69,24.0,24,True,2.56
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,8.59,24.0,24,True,2.39
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.69,24.0,24,True,1.69
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,8.59,24.0,24,True,1.56
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.69,24.0,24,True,2.74
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,8.59,24.0,24,True,2.58
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.69,24.0,24,True,2.4
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,8.59,24.0,24,True,2.23
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,1.12,24.0,24,True,4.12
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,15.2,24.0,24,True,3.77
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,1.12,24.0,24,True,3.64
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,15.2,24.0,24,True,3.55
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,1.12,24.0,24,True,2.86
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,15.2,24.0,24,True,2.73
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,1.12,24.0,24,True,3.82
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,15.2,24.0,24,True,3.51
